Cluster_ID,Count,Avg_Return,Win_Rate
16,195,0.0073665270718547135,0.6051282051282051
19,273,0.00574332117366345,0.6813186813186813
6,373,0.004921156443464943,0.5871313672922251
10,280,0.004680661451235078,0.625
1,309,0.004218014287189489,0.5501618122977346
8,199,0.004008759803973267,0.6231155778894473
3,302,0.0033063810140201684,0.5993377483443708
18,259,0.0030378053708932894,0.6254826254826255
13,306,0.002891646878219124,0.545751633986928
2,274,0.002635583847842719,0.5802919708029197
7,225,0.001820460104129055,0.5777777777777777
17,247,0.0017662175319569109,0.6072874493927125
5,244,0.001695087491252685,0.5204918032786885
4,257,0.001375151323142798,0.5369649805447471
14,219,0.0012595037714468594,0.5525114155251142
9,281,9.46994331684823e-05,0.5658362989323843
11,406,-1.1848034631792907e-05,0.5394088669950738
0,210,-0.0009390431163656364,0.5428571428571428
15,262,-0.0018628943146864496,0.49236641221374045
12,191,-0.003787598405513272,0.5130890052356021
