Lower,Upper,Count,Win_Rate,Avg_Return,Total_Return,Sharpe_Ratio,Max_Drawdown
0,70,172,0.5406976744186046,0.0010973555926613039,0.15442790011774954,0.3411890140633174,-0.3253004458097538
0,75,195,0.5538461538461539,0.0013162621573985886,0.2171833449246825,0.37748600297383145,-0.32530044580975387
0,80,205,0.551219512195122,0.0014646621646738902,0.266595969075651,0.41765559109521466,-0.3253004458097537
0,90,224,0.5625,0.002462620772160732,0.6129740149996203,0.685428295690929,-0.35046438119074147
0,100,231,0.5541125541125541,0.002037972618749709,0.4852572927783185,0.5690013078131261,-0.35046438119074147
10,70,161,0.5341614906832298,0.0012238487445921336,0.16577445354335718,0.37442039498532187,-0.3253004458097538
10,75,184,0.5489130434782609,0.0014400304708386633,0.22914670430861572,0.40627604628155406,-0.32530044580975387
10,80,194,0.5463917525773195,0.0015904651015450344,0.2790449915137867,0.44648773789181656,-0.3253004458097537
10,90,213,0.5586854460093896,0.0026287396192750845,0.6288274917160459,0.7210792981237053,-0.3504643811907414
10,100,220,0.55,0.0021775734585126006,0.4998554770577892,0.5994340175953027,-0.35046438119074147
20,70,130,0.5384615384615384,0.0019497268084701048,0.23946765492490085,0.5692761360117974,-0.27461936895189626
20,75,153,0.5555555555555556,0.0021005911363143424,0.3068459156206844,0.5648976753015418,-0.2746193689518965
20,80,163,0.5521472392638037,0.0022391108400093072,0.35989847037428935,0.6006694650957518,-0.27461936895189637
20,90,182,0.5659340659340659,0.0033865185501504042,0.7317921020641169,0.8911372860112973,-0.31906698523265453
20,100,189,0.5555555555555556,0.0028332857042039795,0.5946672576540109,0.7491105676097679,-0.31906698523265453
25,70,117,0.5811965811965812,0.004327424642753559,0.6048516738026644,1.3092605011880736,-0.181012572137763
25,75,140,0.5928571428571429,0.004101676013979623,0.6920924452950794,1.122527014156565,-0.25251094666567675
25,80,150,0.5866666666666667,0.004118795100150467,0.7607844204003027,1.1230314037057474,-0.25251094666567664
25,90,169,0.5976331360946746,0.005143139492475895,1.2423089804987528,1.3739700186769477,-0.3190669852326547
25,100,176,0.5852272727272727,0.004479177251111393,1.0647609539753646,1.200371575773129,-0.31906698523265464
30,70,101,0.6138613861386139,0.006173061774266349,0.813138723077101,1.9103357323940873,-0.18101257213776278
30,75,124,0.6209677419354839,0.0055758483706119496,0.911702112832125,1.5291093057475147,-0.25735375424002477
30,80,134,0.6119402985074627,0.005484998664338093,0.9893093347710937,1.4975920678755668,-0.25735375424002477
30,90,153,0.6209150326797386,0.006446804772726542,1.533328972398067,1.7238199157802438,-0.3234785917261934
30,100,160,0.60625,0.0056594109512146246,1.3327377231565136,1.5164865644753571,-0.32347859172619337
